city,lat,max_temp,humidity,cloudiness,windspeed
necochea,-38.55,39.72,74,0,12.44
codrington,-28.95,64.47,54,0,4.38
mataura,-46.19,51.42,83,24,8.19
cape town,-33.93,42.8,93,75,3.36
jamestown,-33.21,64.47,37,0,15.57
khatanga,71.98,54.39,100,0,4.5
busselton,-33.64,58.8,100,44,16.13
east london,-33.02,61.77,100,36,8.19
new norfolk,-42.78,51.8,62,75,9.17
abha,18.22,68.0,40,0,3.36
hobart,-42.88,51.8,62,75,9.17
puerto ayora,-0.74,72.48,100,12,12.21
ribeira grande,38.52,73.56,100,76,12.33
butaritari,3.07,84.63,100,0,5.95
barrow,-38.31,42.15,57,0,14.56
laguna,27.52,93.2,46,90,8.05
bredasdorp,-34.53,50.43,100,0,14.0
sept-iles,50.2,56.91,88,88,2.37
lesnoy,59.78,60.33,98,92,4.61
castro,-42.48,44.67,82,92,7.52
acapulco,16.86,84.2,74,40,5.82
vaini,15.34,70.68,98,92,8.75
oruro,-17.97,32.7,100,0,2.93
tasiilaq,65.61,44.6,81,80,2.24
basco,40.33,73.4,83,20,4.7
ushuaia,-54.81,39.2,86,90,2.24
edd,13.93,84.0,47,20,3.83
albany,42.65,73.4,64,90,9.17
victoria,5.28,87.8,79,75,3.36
port alfred,-33.59,57.99,100,92,2.26
mikuni,36.22,95.0,41,20,5.82
constantine,36.36,60.8,93,20,2.24
saint-pierre,48.95,62.6,82,0,4.7
chokurdakh,70.62,50.07,82,8,4.16
lompoc,34.64,73.4,56,1,10.29
houlton,46.13,64.4,77,1,6.93
rikitea,-23.12,70.59,100,0,13.89
darlawn,24.02,71.67,99,92,1.92
thompson,55.74,63.21,59,32,7.4
palu,-0.9,75.81,84,32,2.04
umm kaddadah,13.6,67.98,96,24,2.93
rio grande,-32.03,50.16,96,0,9.75
weligama,5.97,80.58,85,76,14.9
ust-nera,64.57,55.92,46,48,2.26
surt,31.21,78.42,100,20,8.41
bethel,60.79,59.0,77,90,8.05
mitsamiouli,-11.38,73.83,100,0,3.49
kapaa,22.08,87.8,66,40,17.22
nikolskoye,59.7,50.0,81,40,8.95
punta arenas,-53.16,41.0,75,75,2.24
raudeberg,61.99,57.2,76,92,25.28
kaliua,-5.06,70.77,52,88,3.83
alice springs,-23.7,75.2,6,0,20.8
mana,43.52,60.8,100,0,1.12
tiksi,71.64,46.65,92,80,8.97
kaitangata,-46.28,51.06,78,36,9.98
kruisfontein,-34.0,49.08,100,12,6.17
antalaha,-14.9,71.58,94,88,13.0
qaanaaq,77.48,37.2,92,0,8.75
